LMC V0008    SiO maser.
LMC V2128    P1/P0=0.71 (semiamplitude corresponding to P1 is 0.20B). B-V:
LMC V2128    +0.46, +0.95.
LMC V2162    [Fe/H]=-0.53.
LMC V2189    Lx/Lopt ~500. P=6.38h [V0448]; P=8.15h [V0551].
LMC V2198    MinII 15.7.
LMC V2200    P var? [V0059]. [A/H]=-0.01.
LMC V2203    VB (10.3m+12m, 0.65").
LMC V2204    P var. P=11.476d (JD 2413000 - 17000); P=11.458d (JD 2423000-
LMC V2204    27000); since JD 2427000 - see Table.
LMC V2210    Alternative P value is 483d:.
LMC V2239    VB A (B n, var? [V0001]).
LMC V2251    MinII 15.9.
LMC V2302    IR excess. In the nebula LHa 120-N44.
LMC V2329    The data probably refer not to the star marked as HV 12326 in
LMC V2329    the chart in [V0016]. The adopted co-ordinates are based on the
LMC V2329    information from [V0180].
LMC V2340    During 1910 - 1950 Max=2426219.342+2.844786xE [V0008]; P var?
LMC V2340    [V0059]
LMC V2370    [A/H]=0.01.
LMC V2374    Probably the star designated HV12326 in [V0004,V0008] and in
LMC V2374    several other studies, marked in the chart in [V0016] and identical
LMC V2374    with A98182 [V0443] does not coincide with the star studied in
LMC V2374    [V0180]. See V2329.
LMC V2395    Not red [V0037]. P < 100d?
LMC V2404    Not red.
LMC V2414    According to [V0180], Mira type, P=552.5d.
LMC V2426    The star RA=05 25.2 DE=-69 53.0 (1875.0).
LMC V2443    MinII 16.8.
LMC V2471    Alternative P value is 167d:.
LMC V2478    P var. Max=2412717.0+47.823xE (JD 2411000 - 29500); Max=2429598.5+
LMC V2478    47.970xE (JD 2429500 - 35500); since JD 2441000 - see Table.
LMC V2478    The light curve shape var? B-V: +0.54, +1.14. [Fe/H]=-0.47.
LMC V2480    MinII 15.5.
LMC V2487    The co-ordinates refer to the star XII according to the chart
LMC V2487    from [V0023], not identical with HV 12593=V2493, but it is not
LMC V2487    excluded that the chart is wrong and HV 12593 was in fact studied.
LMC V2492    HV 2501 is close.
LMC V2493    See V2487.
LMC V2513    B-V: +0.51, +0.99.
LMC V2521    The central star of the planetary nebula WS 26=LHa 120-N141.
LMC V2532    In the region of the cluster NGC 1958.
LMC V2534    In the region of the cluster SL 460.
LMC V2536    A {gamma}-ray burst source and an X-ray pulsar. The star 3, with
LMC V2536    multicomponent structure, in the error box may be variable in
LMC V2536    the range 14.8m-16m:B [V0117]. In the field 20"x80" optical
LMC V2536    flares up to 8.7m vis were found [V0118], and in the field of
LMC V2536    30" diameter there was possibly a flare to 7.2V [V0186]. In the
LMC V2536    region of the nebula HDE 271255=LHa 120-N49.
LMC V2541    Sp G2Ib-II Ba2. P var. P=32.622d (JD 2413000 - 30000); since
LMC V2541    JD 2430000 - see Table. IR excess. The light curve shape var.
LMC V2541    According to [V0116], RV type is possible.
LMC V2558    In the region of the cluster NGC 1958.
LMC V2562    SB2, Porb=3.03269d. In the cluster NGC 1955.
LMC V2577    VB. The northern star is variable?
LMC V2583    The light curve shape varies strongly.
LMC V2588    Not red [V0037]. P < 100d?
LMC V2593    The depth of MinII is 0.06pg.
LMC V2612    Sp (OB+M)ea.
LMC V2615    MinII 16.6.
LMC V2618    SB2, Porb=1.91674d. Sp WC4+O6V-III.
LMC V2630    (b-y) var: -0.24, -0.09.
LMC V2636    VB (<4", 15{deg}, {Delta} m=1).
LMC V2640    Sp B3Ip+WN3. In the region of the nebula LHa 120-N144. According to
LMC V2640    [V0485], SB1 with P=30.18d: also found photometrically, but with
LMC V2640    V2626 as the comparison star.
LMC V2643    Pulsations, P=625.00d; 175.44d; 36.90d [V0486].
LMC V2653    In the region of the clusters NGC 1968, 1974.
LMC V2654    In the region of the nebula LHa 120-N144.
LMC V2657    Alternative P value is 431d:.
LMC V2673    Identical with A85231; according to [V0443], Mira type,
LMC V2673    Max=2446001+390xE.
LMC V2682    MinII 13.2.
LMC V2693    Bright only on one plate.
LMC V2704    MinII 16.1. According to [V0008], red, const, and the data in
LMC V2704    [V0011] refer to V2855.
LMC V2710    V2713 is close.
LMC V2713    V2710 is close. Identical with A84068; according to [V0443],
LMC V2713    Max=2446105+(210:)xE.
LMC V2717    B-V: +0.46, +1.00. [A/H]=0.06.
